N	F0	m	d_ms	d0	v0	prob	collision
7	627	1785	37	8	119	0.340	0
5	210	1548	4	13	92	0.490	0
3	1947	1447	99	5	92	0.310	0
5	4277	595	211	12	105	0.180	0
7	4223	1278	162	11	95	0.320	0
6	3679	1516	376	6	107	0.220	1
7	701	1173	280	19	106	0.020	0
4	258	966	3	19	77	0.320	0
6	1371	778	225	9	68	0.360	0
8	4592	1903	392	14	80	0.170	0
7	1503	1566	206	18	63	0.290	0
6	1798	917	343	7	99	0.490	1
5	3274	1552	368	7	86	0.190	1
8	1010	1599	72	19	58	0.420	0
5	1320	1919	434	5	64	0.230	0
6	4796	978	55	13	58	0.430	0
8	1503	1043	333	19	95	0.230	0
6	4492	1301	345	15	79	0.320	0
8	2729	864	38	11	61	0.430	0
3	1770	648	165	14	118	0.120	0
8	4107	1701	134	13	102	0.120	0
4	948	812	108	9	99	0.230	0
6	3952	1599	343	18	118	0.060	0
8	4637	590	391	15	110	0.090	1
4	4242	1988	75	18	50	0.280	0
6	1033	1189	366	18	74	0.230	0
6	2868	1757	1	12	100	0.120	0
4	4494	1334	488	9	101	0.490	1
7	995	1897	498	6	106	0.360	1
6	1024	1527	480	7	82	0.110	0
4	2636	680	276	5	75	0.180	1
5	175	1041	316	10	70	0.100	0
8	3002	661	157	6	56	0.370	0
4	4970	1159	456	10	92	0.420	1
5	1485	1806	431	11	77	0.360	0
3	3749	842	460	13	97	0.300	1
3	1100	1885	323	13	50	0.100	0
4	3337	1982	465	12	58	0.150	0
7	587	1908	113	19	76	0.120	0
6	2036	594	393	9	83	0.020	1
3	3985	1307	178	12	94	0.390	0
3	4171	1166	368	18	56	0.440	0
6	4325	835	177	11	90	0.350	1
3	2214	1534	188	15	118	0.330	0
8	1990	806	89	5	105	0.150	0
6	1723	683	435	5	102	0.390	1
5	947	756	147	7	82	0.120	0
8	785	727	20	11	99	0.160	0
6	2185	646	465	15	106	0.210	0
4	1094	1636	443	6	93	0.460	0
5	1407	896	276	17	56	0.240	0
8	4031	1807	56	6	52	0.480	1
5	3156	1982	443	13	69	0.330	0
8	4163	1504	19	16	85	0.290	0
