ArriviDeFerrariAscensore6	ArriviDeFerrariAscensore7	ArriviDaDeFerrari6	ArriviDaDeFerrari7	PersoneSceseDalTreno6vsBrignole	PersoneSceseDalTreno7vsBrignole	IntervalloTreni6vsBrin	OccupazioneTreno6vsBrin	PersoneSaliteABordo6vsBrin	PersoneABordoPreDiscesa6vsBrin	PersoneSceseDalTreno6vsBrin	IntervalloTreni7vsBrin	OccupazioneTreno7vsBrin	PersoneSaliteABordo7vsBrin	PersoneABordoPreDiscesa7vsBrin	PersoneSceseDalTreno7vsBrin	mean_pass_t6	max_pass_t6	mean_pass_t7	max_pass_t7	Out
4.30585	4.376565	423.733623	452.656719	28.890344	60.473449	600	295.896848	47.5	255.5	7.103152	900	284.150196	37	252	4.849804	8.058889	17	6.017778	17	1
6.014258	2.403905	604.561565	234.785941	12.604485	49.097804	480	253.524895	51	203.5	0.975105	900	157.82119	24	150	16.17881	3.964444	13	4.218333	15	1
5.858498	5.580938	605.74788	579.217559	53.314073	40.132576	900	292.219805	12	285	4.780195	900	113.113265	75	50	11.886735	2.826111	40	6.588333	49	1
4.822947	5.208853	473.689485	539.600802	50.580484	45.968421	900	413.956709	93	325	4.043291	270	103.543874	51.5	57.5	5.456126	2.509444	20	4.785	28	1
4.9576	2.637389	502.890644	288.89992	34.857013	51.315889	330	140.852229	32	112	3.147771	900	174.46308	19	170	14.53692	10.036667	48	9.652778	47	1
4.680773	4.994961	498.260691	518.357014	31.295815	54.731196	300	294.374137	40.5	263	9.125863	315	216.905992	32	191	6.094008	6.513889	32	9.382778	36	1
6.542573	0.858312	632.397533	77.259089	55.967978	40.745188	300	176.217566	16.5	168	8.282434	390	292.273189	26	265	14.726811	11.397222	48	14.982778	56	1
5.132299	3.089876	514.160267	298.413526	32.384817	62.215933	390	225.974696	44	193	11.025304	900	292.203437	41	254	2.796563	3.633889	15	3.599444	17	1
5.554662	3.328545	507.267219	304.665593	12.54093	57.118213	600	252.546799	47	212.5	6.953201	900	358.041172	41	320	2.958828	12.835556	69	13.082222	60	1
4.823077	2.048471	477.162615	203.677392	65.615205	52.043622	300	289.414456	71	222.5	4.085544	900	198.101062	24	177	2.898938	4.986111	17	4.308333	18	1
4.810109	4.208252	449.566865	462.282772	27.282407	18.073925	900	91.76923	77	21	6.23077	390	23.477463	16.5	17	10.022537	2.293889	12	4.752778	20	1
2.586143	5.814685	255.729928	514.601901	9.111939	16.826209	570	352.909599	45	309	1.090401	900	411.412085	86	335	9.587915	6.948333	32	4.625	34	1
6.170253	3.2596	561.931005	315.280421	21.91796	59.027526	300	64.858971	6	72	13.141029	315	161.032128	19	155	12.967872	5.345	16	6.934444	16	1
4.714529	5.049405	452.539355	470.119232	60.345693	17.570058	900	207.882953	20	197	9.117047	900	165.820349	56	112	2.179651	6.14	61	7.708333	56	1
3.973029	1.621945	393.949396	192.343725	24.02518	21.63735	315	325.738989	22	318	10.261011	900	370.900977	30	344	3.099023	13.508889	45	9.739444	43	1
6.618837	1.501556	592.929443	147.30216	43.837282	46.201755	900	358.03647	4	356	1.96353	900	357.970588	60	305	7.029412	7.814444	55	8.704444	54	1
3.234899	4.607291	349.901314	457.676701	27.856198	22.200743	900	413.702524	41	383	10.297476	900	292.131697	51	255	13.868303	7.262222	41	4.850556	37	1
4.822829	3.189202	508.679661	331.476438	15.90843	19.794552	900	206.070725	16	197	6.929275	900	80.442247	51	37	7.557753	3.958889	20	4.431111	26	1
4.556429	1.016221	430.787643	101.634639	13.274713	10.135336	750	158.115822	46	114	1.884178	900	248.983789	47	211	9.016211	6.209444	36	5.326667	31	1
3.063043	4.60253	356.803503	489.356621	42.63478	9.4794	900	124.051331	33	98	6.948669	900	262.836304	54	222	13.163696	8.916667	52	8.778333	52	1
6.72267	3.005979	666.771252	287.969589	39.764494	36.968269	900	193.30896	10	191	7.69104	285	207.820964	21	189	2.179036	3.906111	27	8.726111	33	1
5.948338	1.386461	562.298289	142.110405	43.114973	9.633283	900	130.512521	38	99	6.487479	900	291.909377	108	185	1.090623	8.371111	42	6.101667	45	1
5.380068	3.921661	579.54353	374.063715	43.571451	47.857964	390	190.61433	50.5	142	1.88567	900	66.235742	45	30	8.764258	9.555	47	6.584444	43	1
4.869323	5.870665	532.750918	576.316731	23.788589	32.001957	480	117.420297	45.5	73	1.079703	600	227.964366	61	169	2.035634	14.482778	61	8.273889	54	1
4.251222	4.049031	443.809091	357.481977	29.877907	0	510	270.600137	32.5	251.5	13.399863	900	92.034836	50	49	6.965164	13.385	58	11.218333	49	1
5.984674	3.293327	536.362889	334.64304	9.125496	51.359641	780	166.763465	14	155.5	2.736535	900	258.919863	37	232	10.080137	4.178333	19	5.586111	21	1
5.210039	1.831245	568.582679	170.509153	49.769371	23.071169	630	163.566338	83.5	82	1.933662	900	73.826573	74	6	6.173427	7.011111	50	6.223889	51	1
5.308585	2.80764	509.269669	268.384977	15.934502	0	900	141.960913	50	94	2.039087	900	255.52068	116	145	5.47932	3.477778	23	4.653333	25	1
4.420819	5.800586	506.375104	674.287315	21.395074	57.189829	480	156.906625	46	122.5	11.593375	330	208.008697	43.5	178.5	13.991303	7.532222	40	8.141667	33	1
6.271973	3.522502	676.394069	385.52285	15.785413	33.976422	900	358.304976	32	339	12.695024	330	245.304976	30	228	15.18199	5.106667	21	7.620556	20	1
4.537285	5.91649	411.572231	561.00345	23.09913	16.023205	420	169.815352	19.5	158.5	8.184648	420	237.500942	23.5	225.5	11.499058	2.655	14	3.686111	14	1
4.656304	3.365213	479.056189	350.19433	27.681306	28.440745	600	323.940634	30.5	304	10.559366	900	152.488095	60	103	10.511905	7.847222	45	8.288333	47	1
